id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01049,0.003544728642999194,0.0,1055,5,0.9718196034431458,0.49155264976890684
A01050,0.023048234679747374,0.0,1988,4,0.9563370943069458,0.3672411276155925
A01051,0.053821910644794406,0.0,1516,5,0.962705111503601,0.42654161133840873
A01052,0.04726482461926892,0.0,2006,1,0.9850019216537476,0.3266331658291457
A01053,0.059376130348715986,0.0,1174,5,0.988037645816803,0.39281206527416873
A01054,0.0009678329854580758,0.0,1058,5,0.976491367816925,0.45783924001535603
A01055,0.1333090437090836,0.0,1188,4,0.8575606346130371,0.8141562477703151
A01056,0.04857881704306665,0.0,641,5,0.9064200401306153,0.7605023349520781
A01057,0.3786672746655301,1.0,520,5,0.8264604210853577,0.7525033504078277
A01058,nan,nan,245,0,nan,nan
A01059,0.36505872602661443,0.6,846,5,0.9632688641548157,0.6842768592973746
A01060,0.32375164206197804,1.0,994,5,0.9266502380371093,0.7264677477742805
A01061,0.37129507310158283,0.3333333333333333,622,3,0.8336053490638733,0.8091696154753479
A01062,0.4386674208017829,0.6,703,5,0.9207182884216308,0.740143766772935
A01063,0.10295434641692532,0.0,1700,5,0.890896987915039,0.6800426140069968
A01064,0.00477238338394176,0.0,1959,5,0.9799615502357483,0.5552074416032508
A01065,0.41660265079102027,0.6,1042,5,0.90352942943573,0.6977808199867281
A01066,0.3478663850004122,0.4,2619,5,0.9779628157615662,0.6477386485790463
A01067,0.31066850375596905,0.2,2154,5,0.9659564137458801,0.6991048769083192
A01068,0.3798905916237252,1.0,2687,5,0.9660862207412719,0.716695070893425
A01069,0.0055790325458502515,0.0,2131,5,0.9715613842010498,0.6635775834051696
A01070,0.38941764283015473,1.0,2512,5,0.9394067406654358,0.6871725444783662
A01071,0.1005125650288592,0.0,2355,5,0.972767174243927,0.6234807175375117
A01072,0.2649073131177747,0.2,2642,5,0.9679754495620727,0.6495274472760858
A01073,0.44500594022194284,0.4,2047,5,0.9426233530044555,0.7342308694400312
A01074,0.10120455868685115,0.0,2313,5,0.9768429875373841,0.7311401960495477
A01075,0.005687888046836259,0.0,1795,5,0.9052625179290772,0.7155301875619935
A01076,0.3880049795619026,0.4,2197,5,0.9480757117271423,0.7607851959644554
A01077,0.001956132153763222,0.0,2370,5,0.8683856368064881,0.4872701284461153
A01078,0.39465365353029974,1.0,1947,5,0.9525737404823303,0.5692218060304549
A01079,0.053772002413354655,0.0,2528,5,0.9479958891868592,0.5681769834318552
A01080,0.42682817798735656,0.6,2666,5,0.9251718997955323,0.6588341558002692
A01081,0.09421705702877577,0.0,2386,5,0.9668557286262512,0.6608977184789083
A01082,0.3971275568202642,0.8,2846,5,0.9838233470916748,0.5986208395413958
A01083,0.007913702897464804,0.0,1997,5,0.9545863270759583,0.6787621563693281
A01084,0.0038332713290148215,0.0,2654,5,0.9704415321350097,0.5798705185623023
A01085,0.1526864103387634,0.0,2951,4,0.8339841514825821,0.5508707910042938
A01086,0.42470993370765386,0.6,2587,5,0.9386995196342468,0.6195438627574675
A01087,2.7870350499208734e-05,0.0,2413,5,0.972484576702118,0.473146854855516
A01088,0.32359380571759483,1.0,1342,5,0.9616915106773376,0.6149382589360763
A01089,0.014746581343291208,0.0,1111,5,0.9671886086463928,0.6233140928127272
A01090,0.00021013087387441098,0.0,830,5,0.9487526178359985,0.6308796467805429
A01091,0.022264204509805176,0.0,1103,5,0.9539357781410217,0.7236962458837384
A01092,0.01447965918783216,0.0,728,5,0.9529844760894776,0.637944203944204
A01093,0.38260338997025717,0.8,1204,5,0.948881721496582,0.6622578129941368
A01094,0.014361190246682158,0.0,1064,5,0.981124997138977,0.572804979983861
A01095,0.03913535402026985,0.0,863,5,0.9335682153701782,0.6439401259906812
A01096,0.008616923097540616,0.0,557,5,0.9739815354347229,0.5723913149133678
A01097,0.010140432838768254,0.0,1042,5,0.9396923184394836,0.7208491559527118
A01098,0.34928455179334167,1.0,647,5,0.9078922152519227,0.762560379749315
A01099,0.3788529768442983,1.0,2443,5,0.9176794528961182,0.6826500979496133
A01100,0.357154900825629,1.0,1341,5,0.9680001854896545,0.6824606416899164
